MatchID,Date,Team1,Team2,Winner,Venue,City,TossWinner,TossDecision,PlayerOfMatch
1298173,2022-11-05,Sri Lanka,England,England,Sydney Cricket Ground,Sydney,Sri Lanka,bat,AU Rashid
1298174,2022-11-06,Netherlands,South Africa,Netherlands,Adelaide Oval,Adelaide,South Africa,field,CN Ackermann
1298175,2022-11-06,Bangladesh,Pakistan,Pakistan,Adelaide Oval,Adelaide,Bangladesh,bat,Shaheen Shah Afridi
1298176,2022-11-06,India,Zimbabwe,India,Melbourne Cricket Ground,Melbourne,India,bat,SA Yadav
1298177,2022-11-09,New Zealand,Pakistan,Pakistan,Sydney Cricket Ground,Sydney,New Zealand,bat,Mohammad Rizwan
1298178,2022-11-10,India,England,England,Adelaide Oval,Adelaide,England,field,AD Hales
1298179,2022-11-13,Pakistan,England,England,Melbourne Cricket Ground,Melbourne,England,field,SM Curran
1415701,2024-06-01,Canada,United States of America,United States of America,"Grand Prairie Stadium, Dallas",Dallas,United States of America,field,Aaron Jones
1415702,2024-06-02,Papua New Guinea,West Indies,West Indies,"Providence Stadium, Guyana",Providence,West Indies,field,RL Chase
1415703,2024-06-02,Oman,Namibia,,"Kensington Oval, Bridgetown, Barbados",Bridgetown,Namibia,field,D Wiese
1415704,2024-06-03,Sri Lanka,South Africa,South Africa,"Nassau County International Cricket Stadium, New York",New York,Sri Lanka,bat,A Nortje
1415706,2024-06-04,Scotland,England,,"Kensington Oval, Bridgetown, Barbados",Bridgetown,Scotland,bat,
1415707,2024-06-04,Nepal,Netherlands,Netherlands,"Grand Prairie Stadium, Dallas",Dallas,Netherlands,field,TJG Pringle
1415708,2024-06-05,Ireland,India,India,"Nassau County International Cricket Stadium, New York",New York,India,field,JJ Bumrah
1415709,2024-06-05,Papua New Guinea,Uganda,Uganda,"Providence Stadium, Guyana",Providence,Uganda,field,Riazat Ali Shah
1415710,2024-06-05,Australia,Oman,Australia,"Kensington Oval, Bridgetown, Barbados",Bridgetown,Oman,field,MP Stoinis
1415711,2024-06-06,Pakistan,United States of America,,"Grand Prairie Stadium, Dallas",Dallas,United States of America,field,MD Patel
1415712,2024-06-06,Namibia,Scotland,Scotland,"Kensington Oval, Bridgetown, Barbados",Bridgetown,Namibia,bat,MA Leask
1415713,2024-06-07,Canada,Ireland,Canada,"Nassau County International Cricket Stadium, New York",New York,Ireland,field,NR Kirton
1415715,2024-06-07,Sri Lanka,Bangladesh,Bangladesh,"Grand Prairie Stadium, Dallas",Dallas,Bangladesh,field,Rishad Hossain
1415716,2024-06-08,Netherlands,South Africa,South Africa,"Nassau County International Cricket Stadium, New York",New York,South Africa,field,DA Miller
1415717,2024-06-08,Australia,England,Australia,"Kensington Oval, Bridgetown, Barbados",Bridgetown,England,field,A Zampa
1415718,2024-06-08,West Indies,Uganda,West Indies,"Providence Stadium, Guyana",Providence,West Indies,bat,AJ Hosein
1415719,2024-06-09,India,Pakistan,India,"Nassau County International Cricket Stadium, New York",New York,Pakistan,field,JJ Bumrah
1415720,2024-06-09,Oman,Scotland,Scotland,"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,Oman,bat,BJ McMullen
1415721,2024-06-10,South Africa,Bangladesh,South Africa,"Nassau County International Cricket Stadium, New York",New York,South Africa,bat,H Klaasen
1415722,2024-06-11,Canada,Pakistan,Pakistan,"Nassau County International Cricket Stadium, New York",New York,Pakistan,field,Mohammad Amir
1415724,2024-06-11,Namibia,Australia,Australia,"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,Australia,field,A Zampa
1415725,2024-06-12,United States of America,India,India,"Nassau County International Cricket Stadium, New York",New York,India,field,Arshdeep Singh
1415726,2024-06-12,West Indies,New Zealand,West Indies,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,New Zealand,field,SE Rutherford
1415727,2024-06-13,Bangladesh,Netherlands,Bangladesh,"Arnos Vale Ground, Kingstown, St Vincent",Kingstown,Netherlands,field,Shakib Al Hasan
1415728,2024-06-13,Oman,England,England,"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,England,field,AU Rashid
1415731,2024-06-14,South Africa,Nepal,South Africa,"Arnos Vale Ground, Kingstown, St Vincent",Kingstown,Nepal,field,T Shamsi
1415732,2024-06-14,Uganda,New Zealand,New Zealand,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,New Zealand,field,TG Southee
1415734,2024-06-15,England,Namibia,England,"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,Namibia,field,HC Brook
1415735,2024-06-15,Scotland,Australia,Australia,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,Australia,field,MP Stoinis
1415736,2024-06-16,Ireland,Pakistan,Pakistan,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,Pakistan,field,Shaheen Shah Afridi
1415737,2024-06-16,Bangladesh,Nepal,Bangladesh,"Arnos Vale Ground, Kingstown, St Vincent",Kingstown,Nepal,field,Tanzim Hasan Sakib
1415738,2024-06-16,Sri Lanka,Netherlands,Sri Lanka,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,Netherlands,field,KIC Asalanka
1415739,2024-06-17,Papua New Guinea,New Zealand,New Zealand,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,New Zealand,field,LH Ferguson
1415741,2024-06-19,South Africa,United States of America,South Africa,"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,United States of America,field,Q de Kock
1415742,2024-06-19,West Indies,England,England,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,England,field,PD Salt
1415744,2024-06-20,Bangladesh,Australia,Australia,"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,Australia,field,PJ Cummins
1415745,2024-06-21,South Africa,England,South Africa,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,England,field,Q de Kock
1415746,2024-06-21,United States of America,West Indies,West Indies,"Kensington Oval, Bridgetown, Barbados",Bridgetown,West Indies,field,RL Chase
1415747,2024-06-22,India,Bangladesh,India,"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,Bangladesh,field,HH Pandya
1415749,2024-06-23,United States of America,England,England,"Kensington Oval, Bridgetown, Barbados",Bridgetown,England,field,AU Rashid
1415750,2024-06-23,West Indies,South Africa,South Africa,"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,South Africa,field,T Shamsi
1415751,2024-06-24,India,Australia,India,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,Australia,field,RG Sharma
1415754,2024-06-27,India,England,India,"Providence Stadium, Guyana",Providence,England,field,AR Patel
1415755,2024-06-29,India,South Africa,India,"Kensington Oval, Bridgetown, Barbados",Bridgetown,India,bat,V Kohli
1512719,2026-02-07,Netherlands,Pakistan,Pakistan,"Sinhalese Sports Club Ground, Colombo",Colombo,Pakistan,field,Faheem Ashraf
1512720,2026-02-07,West Indies,Scotland,West Indies,"Eden Gardens, Kolkata",Kolkata,Scotland,field,SO Hetmyer
1512721,2026-02-07,India,United States of America,India,"Wankhede Stadium, Mumbai",Mumbai,United States of America,field,SA Yadav
1512723,2026-02-08,England,Nepal,England,"Wankhede Stadium, Mumbai",Mumbai,England,bat,WG Jacks
1512724,2026-02-08,Sri Lanka,Ireland,Sri Lanka,"R Premadasa Stadium, Colombo",Colombo,Ireland,field,PHKD Mendis
1512725,2026-02-09,Scotland,Italy,Scotland,"Eden Gardens, Kolkata",Kolkata,Italy,field,MA Leask
1512726,2026-02-09,Oman,Zimbabwe,Zimbabwe,"Sinhalese Sports Club Ground, Colombo",Colombo,Zimbabwe,field,B Muzarabani
1512727,2026-02-09,South Africa,Canada,South Africa,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Canada,field,L Ngidi
1512728,2026-02-10,Namibia,Netherlands,Netherlands,"Arun Jaitley Stadium, Delhi",Delhi,Netherlands,field,BFW de Leede
1512729,2026-02-10,United Arab Emirates,New Zealand,New Zealand,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,United Arab Emirates,bat,TL Seifert
1512730,2026-02-10,Pakistan,United States of America,Pakistan,"Sinhalese Sports Club Ground, Colombo",Colombo,United States of America,field,Sahibzada Farhan
1512732,2026-02-11,Australia,Ireland,Australia,"R Premadasa Stadium, Colombo",Colombo,Australia,bat,NT Ellis
1512733,2026-02-11,West Indies,England,West Indies,"Wankhede Stadium, Mumbai",Mumbai,England,field,SE Rutherford
