Batter,Runs,Balls,Fours,Sixes,StrikeRate
GC Wilson,43,41,6.0,0.0,104.8780487804878
GD Elliott,50,46,4.0,0.0,108.69565217391305
GD Phillips,485,358,35.0,22.0,135.47486033519553
GF Linde,30,22,2.0,1.0,136.36363636363637
GH Dockrell,229,171,18.0,9.0,133.91812865497076
GJ Bailey,35,38,1.0,3.0,92.10526315789474
GJ Delany,251,192,19.0,13.0,130.72916666666666
GJ Maxwell,519,378,41.0,27.0,137.3015873015873
GP Meade,4,11,0.0,0.0,36.36363636363637
GR Adair,60,40,9.0,2.0,150.0
GSNFG Jayasuriya,1,3,0.0,0.0,33.333333333333336
Gulsan Jha,59,65,2.0,4.0,90.76923076923077
H Hiri,32,52,4.0,0.0,61.53846153846154
H Kaushik,7,15,1.0,0.0,46.666666666666664
H Klaasen,239,197,14.0,14.0,121.31979695431473
H Masakadza,78,79,9.0,1.0,98.73417721518987
H Thaker,86,76,4.0,5.0,113.15789473684211
HC Brook,429,299,39.0,13.0,143.47826086956522
HDRL Thirimanne,79,78,8.0,2.0,101.28205128205128
HE van der Dussen,177,157,10.0,6.0,112.73885350318471
HG Munsey,533,465,67.0,16.0,114.6236559139785
HH Pandya,507,367,33.0,30.0,138.14713896457766
HJ Manenti,57,48,2.0,5.0,118.75
HM Amla,300,230,33.0,7.0,130.43478260869566
HM Nicholls,7,11,1.0,0.0,63.63636363636363
HMRKB Herath,7,11,0.0,0.0,63.63636363636363
HN Ya France,1,4,0.0,0.0,25.0
HR Walsh,0,1,0.0,0.0,0.0
HT Tector,144,168,8.0,1.0,85.71428571428571
Haider Ali,2,5,0.0,0.0,40.0
Hammad Mirza,71,68,8.0,2.0,104.41176470588235
Haris Rauf,13,10,0.0,1.0,130.0
Harmeet Singh,76,62,5.0,5.0,122.58064516129032
Hasan Mahmud,0,5,0.0,0.0,0.0
Haseeb Amjad,16,15,0.0,1.0,106.66666666666667
IS Sodhi,9,9,0.0,0.0,100.0
Iftikhar Ahmed,141,124,11.0,6.0,113.70967741935483
Imad Wasim,30,43,3.0,0.0,69.76744186046511
Imran Tahir,17,11,1.0,1.0,154.54545454545453
Irfan Ahmed,34,29,3.0,3.0,117.24137931034483
Ishan Kishan,321,175,34.0,18.0,183.42857142857142
J Charles,261,256,26.0,9.0,101.953125
J Kariko,0,2,0.0,0.0,0.0
J Little,53,55,5.0,2.0,96.36363636363636
J Liyanage,5,3,1.0,0.0,166.66666666666666
J Miyaji,26,37,0.0,0.0,70.27027027027027
J Mosca,105,85,12.0,3.0,123.52941176470588
J Overton,32,35,1.0,2.0,91.42857142857143
J Ramanandi,5,13,0.0,0.0,38.46153846153846
JA Duffy,3,5,0.0,0.0,60.0
JA Morkel,33,26,0.0,3.0,126.92307692307692
JC Archer,54,34,3.0,5.0,158.8235294117647
JC Buttler,1036,724,95.0,45.0,143.0939226519337
JC Tredwell,8,6,1.0,0.0,133.33333333333334
JDF Vandersay,3,8,0.0,0.0,37.5
JDS Neesham,187,143,9.0,9.0,130.76923076923077
JE Root,237,169,23.0,6.0,140.23668639053255
JF Smith,3,5,0.0,0.0,60.0
JG Bethell,280,192,25.0,14.0,145.83333333333334
JH Davey,41,28,1.0,3.0,146.42857142857142
JJ Atkinson,26,42,3.0,0.0,61.904761904761905
JJ Bumrah,0,4,0.0,0.0,0.0
JJ Roy,301,213,32.0,12.0,141.31455399061034
JJ Smit,201,192,12.0,8.0,104.6875
JM Bairstow,157,126,16.0,6.0,124.60317460317461
JM Muirhead,4,8,0.0,0.0,50.0
JN Frylinck,258,262,22.0,4.0,98.47328244274809
JN Loftie-Eaton,124,116,8.0,4.0,106.89655172413794
JO Holder,207,132,11.0,17.0,156.8181818181818
JP Duminy,241,166,17.0,11.0,145.18072289156626
JP Faulkner,30,34,3.0,0.0,88.23529411764706
JP Inglis,84,50,11.0,2.0,168.0
JP Kotze,0,3,0.0,0.0,0.0
JR Hazlewood,1,1,0.0,0.0,100.0
JT Brassell,3,4,0.0,0.0,75.0
JT Smuts,46,43,5.0,2.0,106.97674418604652
JW Hastings,3,4,0.0,0.0,75.0
Jaker Ali,35,49,3.0,0.0,71.42857142857143
Jasdeep Singh,4,13,0.0,0.0,30.76923076923077
Jaskaran Singh,4,5,0.0,0.0,80.0
Jaspreet Singh,12,12,0.0,1.0,100.0
Jatinder Singh,192,155,21.0,5.0,123.87096774193549
Jay Odedra,8,15,1.0,0.0,53.333333333333336
Junaid Siddique,18,18,1.0,1.0,100.0
K Bhurtel,102,107,9.0,6.0,95.32710280373831
K Doriga,108,97,7.0,4.0,111.34020618556701
K Klein,8,13,0.0,0.0,61.53846153846154
K Mishara,54,48,9.0,1.0,112.5
K Rabada,51,51,4.0,2.0,100.0
K Sonavale,12,17,2.0,0.0,70.58823529411765
K Waiswa,19,46,2.0,0.0,41.30434782608695
KA Maharaj,27,40,1.0,1.0,67.5
KA Pollard,90,88,6.0,3.0,102.27272727272727
KC Sangakkara,71,74,8.0,1.0,95.94594594594595
KD Karthik,14,23,1.0,0.0,60.869565217391305
KD Mills,4,9,1.0,0.0,44.44444444444444
KD Shah,7,5,1.0,0.0,140.0
KH Prajapati,40,64,2.0,3.0,62.5
KIC Asalanka,444,345,35.0,19.0,128.69565217391303
KJ Coetzer,97,101,10.0,3.0,96.03960396039604
KJ O'Brien,112,82,10.0,5.0,136.58536585365854
KL Rahul,253,188,21.0,13.0,134.5744680851064
KMDN Kulasekara,14,14,1.0,0.0,100.0
KP Meiyappan,4,8,0.0,0.0,50.0
KR Mayers,69,65,8.0,3.0,106.15384615384616
KS Williamson,642,560,64.0,14.0,114.64285714285714
KV Morea,17,19,0.0,1.0,89.47368421052632
Kaleem Sana,18,17,1.0,1.0,105.88235294117646
Kaleemullah,18,18,2.0,0.0,100.0
Kamran Akmal,48,58,8.0,0.0,82.75862068965517
Kamran Shazad,21,18,1.0,2.0,116.66666666666667
Karan KC,37,27,1.0,3.0,137.03703703703704
Kashif Daud,15,18,0.0,1.0,83.33333333333333
Khalid Kail,48,62,2.0,1.0,77.41935483870968
Khalid Latif,49,48,4.0,1.0,102.08333333333333
